stamp,year,month,day,hour,minute,weekday,holiday,daylight,rain,volume
2017-01-01 00:00:00,2017,1,1,0,0,7,0.5,0.0,0.0,71.25
2017-01-01 01:00:00,2017,1,1,1,0,7,0.5,0.0,0.0,71.18333333333334
2017-01-01 02:00:00,2017,1,1,2,0,7,0.5,0.0,0.0,70.93333333333334
2017-01-01 03:00:00,2017,1,1,3,0,7,0.5,0.0,0.0,70.87500000000001
2017-01-01 04:00:00,2017,1,1,4,0,7,0.5,0.0,0.0,71.13333333333334
2017-01-01 05:00:00,2017,1,1,5,0,7,0.5,0.0,0.0,71.75833333333334
2017-01-01 06:00:00,2017,1,1,6,0,7,0.5,0.0,0.0,71.46666666666667
2017-01-01 07:00:00,2017,1,1,7,0,7,0.5,0.0,0.0,71.73333333333333
2017-01-01 08:00:00,2017,1,1,8,0,7,0.5,0.0,0.0,71.69166666666665
2017-01-01 09:00:00,2017,1,1,9,0,7,0.5,0.0,0.0,72.21666666666665
2017-01-01 10:00:00,2017,1,1,10,0,7,0.5,0.0,0.0,72.17499999999998
2017-01-01 11:00:00,2017,1,1,11,0,7,0.5,0.0,0.0,70.50833333333334
2017-01-01 12:00:00,2017,1,1,12,0,7,0.5,0.0,0.0,70.68333333333332
2017-01-01 13:00:00,2017,1,1,13,0,7,0.5,0.0,0.0,69.76666666666665
2017-01-01 14:00:00,2017,1,1,14,0,7,0.5,0.0,0.0,70.175
2017-01-01 15:00:00,2017,1,1,15,0,7,0.5,0.0,0.0,70.11666666666667
2017-01-01 16:00:00,2017,1,1,16,0,7,0.5,0.0,0.0,69.35
2017-01-01 17:00:00,2017,1,1,17,0,7,0.5,0.0,0.0,66.95833333333333
2017-01-01 18:00:00,2017,1,1,18,0,7,0.5,0.0,0.0,72.11666666666669
2017-01-01 19:00:00,2017,1,1,19,0,7,0.5,0.0,0.0,72.89166666666667
2017-01-01 20:00:00,2017,1,1,20,0,7,0.5,0.0,0.0,72.44166666666666
2017-01-01 21:00:00,2017,1,1,21,0,7,0.5,0.0,0.0,72.05833333333334
2017-01-01 22:00:00,2017,1,1,22,0,7,0.5,0.0,0.0,71.99999999999999
2017-01-01 23:00:00,2017,1,1,23,0,7,0.5,0.0,0.0,71.825
2017-01-02 00:00:00,2017,1,2,0,0,1,0.0,0.0,0.0,71.23333333333333
2017-01-02 01:00:00,2017,1,2,1,0,1,0.0,0.0,0.0,71.28333333333333
2017-01-02 02:00:00,2017,1,2,2,0,1,0.0,0.0,0.0,71.10833333333333
2017-01-02 03:00:00,2017,1,2,3,0,1,0.0,0.0,0.0,71.13333333333334
2017-01-02 04:00:00,2017,1,2,4,0,1,0.0,0.0,0.0,72.80833333333334
2017-01-02 05:00:00,2017,1,2,5,0,1,0.0,0.0,0.0,73.40833333333333
2017-01-02 06:00:00,2017,1,2,6,0,1,0.0,0.0,0.0,62.28333333333333
2017-01-02 07:00:00,2017,1,2,7,0,1,0.0,0.0,0.0,57.44166666666667
2017-01-02 08:00:00,2017,1,2,8,0,1,0.0,0.0,0.0,57.40833333333333
2017-01-02 09:00:00,2017,1,2,9,0,1,0.0,0.0,0.0,60.87499999999999
